Entity,Category,System,Suggested_Query,Recommended_Filters,Red_Flag_Terms,Next_Step
Anduril,Prime/Integrator,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Anduril""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Anduril,Prime/Integrator,USAspending (Award → Mod History),"Awardee = ""Anduril"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Anduril,Prime/Integrator,FPDS (legacy ezSearch),"""Anduril"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Anduril,Prime/Integrator,GAO Bid Protests,"""Anduril"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Anduril,Prime/Integrator,SEC EDGAR (8-K/10-K/Exhibits),"""Anduril"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Anduril,Prime/Integrator,Delaware SOS (Entity Search),"""Anduril""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Anduril,Prime/Integrator,IRS 990 (if applicable),"""Anduril"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Anduril,Prime/Integrator,Jobs Telemetry,"""Anduril"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Palantir,Prime/Integrator,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Palantir""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Palantir,Prime/Integrator,USAspending (Award → Mod History),"Awardee = ""Palantir"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Palantir,Prime/Integrator,FPDS (legacy ezSearch),"""Palantir"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Palantir,Prime/Integrator,GAO Bid Protests,"""Palantir"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Palantir,Prime/Integrator,SEC EDGAR (8-K/10-K/Exhibits),"""Palantir"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Palantir,Prime/Integrator,Delaware SOS (Entity Search),"""Palantir""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Palantir,Prime/Integrator,IRS 990 (if applicable),"""Palantir"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Palantir,Prime/Integrator,Jobs Telemetry,"""Palantir"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
L3Harris,Prime/Integrator,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""L3Harris""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
L3Harris,Prime/Integrator,USAspending (Award → Mod History),"Awardee = ""L3Harris"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
L3Harris,Prime/Integrator,FPDS (legacy ezSearch),"""L3Harris"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
L3Harris,Prime/Integrator,GAO Bid Protests,"""L3Harris"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
L3Harris,Prime/Integrator,SEC EDGAR (8-K/10-K/Exhibits),"""L3Harris"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
L3Harris,Prime/Integrator,Delaware SOS (Entity Search),"""L3Harris""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
L3Harris,Prime/Integrator,IRS 990 (if applicable),"""L3Harris"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
L3Harris,Prime/Integrator,Jobs Telemetry,"""L3Harris"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
General Atomics,Prime/Integrator,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""General Atomics""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
General Atomics,Prime/Integrator,USAspending (Award → Mod History),"Awardee = ""General Atomics"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
General Atomics,Prime/Integrator,FPDS (legacy ezSearch),"""General Atomics"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
General Atomics,Prime/Integrator,GAO Bid Protests,"""General Atomics"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
General Atomics,Prime/Integrator,SEC EDGAR (8-K/10-K/Exhibits),"""General Atomics"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
General Atomics,Prime/Integrator,Delaware SOS (Entity Search),"""General Atomics""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
General Atomics,Prime/Integrator,IRS 990 (if applicable),"""General Atomics"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
General Atomics,Prime/Integrator,Jobs Telemetry,"""General Atomics"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sierra Nevada Corporation (SNC),Prime/Integrator,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Sierra Nevada Corporation (SNC)""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sierra Nevada Corporation (SNC),Prime/Integrator,USAspending (Award → Mod History),"Awardee = ""Sierra Nevada Corporation (SNC)"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sierra Nevada Corporation (SNC),Prime/Integrator,FPDS (legacy ezSearch),"""Sierra Nevada Corporation (SNC)"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sierra Nevada Corporation (SNC),Prime/Integrator,GAO Bid Protests,"""Sierra Nevada Corporation (SNC)"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sierra Nevada Corporation (SNC),Prime/Integrator,SEC EDGAR (8-K/10-K/Exhibits),"""Sierra Nevada Corporation (SNC)"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sierra Nevada Corporation (SNC),Prime/Integrator,Delaware SOS (Entity Search),"""Sierra Nevada Corporation (SNC)""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sierra Nevada Corporation (SNC),Prime/Integrator,IRS 990 (if applicable),"""Sierra Nevada Corporation (SNC)"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Sierra Nevada Corporation (SNC),Prime/Integrator,Jobs Telemetry,"""Sierra Nevada Corporation (SNC)"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Kratos Defense & Security,Prime/Integrator,SAM.gov (Awards & Attachments),"(""special tooling"" OR ""special test equipment"" OR GFP OR 52.245-1 OR ""DD Form 254"" OR DoDM 5205.07 OR JSIG OR ""ICS 705"" OR SAPF OR SCIF) AND ""Kratos Defense & Security""",FY2010–present; Award→Attchs; Data Bank export,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Kratos Defense & Security,Prime/Integrator,USAspending (Award → Mod History),"Awardee = ""Kratos Defense & Security"" (or filter by PIID/IDV) → review Mod Reason/Narrative for GFP/IUID/Novation; export modification history",FY2010–present; bind around M&A/org churn,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Kratos Defense & Security,Prime/Integrator,FPDS (legacy ezSearch),"""Kratos Defense & Security"" in ezSearch; inspect PIID/IDV structure; pull SF-30 mod list and clause text",Legacy → clause text & SF-30 mod list,GFP; FAR 52.245-1; IUID/UID; DFARS 252.211-7003; Novation/Change-of-Name FAR 42.12/42.1204; DD 254; DoDM 5205.07; ICS/ICD 705; JSIG; SAPF/SCIF; J&A FAR 6.3; D&F FAR 1.7; UEI/DUNS/CAGE crosswalk,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Kratos Defense & Security,Prime/Integrator,GAO Bid Protests,"""Kratos Defense & Security"" AND (protest OR sustain OR deny)",Pull docket → crosswalk PIID & J&A logic,J&A; timeline anchors; evaluation factors,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Kratos Defense & Security,Prime/Integrator,SEC EDGAR (8-K/10-K/Exhibits),"""Kratos Defense & Security"" AND (acquisition OR asset transfer OR novation OR government OR ""U.S. government"")",M&A windows ±180 days,novation schedules; segment moves; facility notes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Kratos Defense & Security,Prime/Integrator,Delaware SOS (Entity Search),"""Kratos Defense & Security""",Around mod clusters / novations,conversions; mergers; name changes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Kratos Defense & Security,Prime/Integrator,IRS 990 (if applicable),"""Kratos Defense & Security"" site:irs.gov OR site:propublica.org",Universities/foundations only,program service revenue; related orgs,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
Kratos Defense & Security,Prime/Integrator,Jobs Telemetry,"""Kratos Defense & Security"" AND (""TS/SCI"" OR polygraph OR SAPF OR SCIF OR GEOINT OR ""SE&I"") site:clearancejobs.com OR site:linkedin.com OR site:workdayjobs.com",Last 5–7 yrs,TS/SCI poly; SAPF build-outs; GEOINT SE&I spikes,Export artifacts; score with escalation matrix; promote ≥6 to FOIA
